student_id,date,status
101,2026-09-01,Present
102,2026-09-01,Present
103,2026-09-01,Absent
104,2026-09-01,Present
105,2026-09-01,Absent
106,2026-09-01,Present
107,2026-09-01,Present
108,2026-09-01,Present
109,2026-09-01,Absent
110,2026-09-01,Present
101,2026-09-02,Present
102,2026-09-02,Absent
103,2026-09-02,Present
104,2026-09-02,Present
105,2026-09-02,Present
106,2026-09-02,Present
107,2026-09-02,Absent
108,2026-09-02,Present
109,2026-09-02,Present
110,2026-09-02,Absent
101,2026-09-03,Present
102,2026-09-03,Present
103,2026-09-03,Present
104,2026-09-03,Absent
105,2026-09-03,Present
106,2026-09-03,Absent
107,2026-09-03,Present
108,2026-09-03,Present
109,2026-09-03,Present
110,2026-09-03,Present
